PEDIGREE,Range,Row,Rep,PLOT,TEST,Rust.1,Rust.2,Range_Row,Row.Odd
((LH195RR)/(((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)/((LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-BB/X/(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-B12-B5-B24))-5-1-B4),18,41,2,140,INEW,12,80,18_41,41
(((NC300 x Tx714-B/B104-1/CML343)-2-1-B-B-B-B-B-B-B-B-1-B25-B23-B22-B26-B13)/Tx777-B50),19,42,2,141,INEW,7,45,19_41,41
((GP474GT-B12-B15-B23)/(LAMA2002-12-1-B/(CML 325/B104)-B-1-B-B-B-B)-B-B2-3-2-B-B-B-1-B--B2-B26-B13-1-B6-B15),19,40,2,142,INEW,8,90,19_39,39
((LH195 exPVP)/((((TX772W/RedStalker-6)//TX772W)///TX772W)-B2////TX772W)-1-B4-B5-1-B11-B17),19,38,2,143,INEW,8,90,19_37,37
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-2-B2),19,36,2,144,INEW,10,75,19_35,35
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-3-1),19,34,2,145,INEW,8,70,19_33,33
(((Tzi 18/Mp313E -B)/(CML 311/Mp715)/(CML 108/NC334)/(Tx740/CML 348)-44-1-1-1-B18)/Tx779),19,32,2,146,INEW,7,65,19_31,31
(((Tx777/Tx775)-B5-15-1-1-B28)/GP739GTCBLLBL),19,30,2,147,INEW,6.5,50,19_29,29
((((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-2-2-B1)/Tx779),19,28,2,148,INEW,9,80,19_27,27
DKC67-44 (2021),19,26,2,149,INEW,10,88,19_25,25
((GP724GTCBLL)/((((TX772W/RedStalker-6)//TX772W)///TX772W)-B2////TX772W)-1-B4-B5-1-B11-B17),19,24,2,150,INEW,9,86,19_23,23
((LH195RR)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2-1-B9),19,22,2,151,INEW,10,75,19_21,21
(((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)/((LAMA2002-22-1-B-B-B-B/LAMA2002-1-5-B-B-B-B)-2-1-B-1-1-1-BB/X/(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-B12-B5-B24)-B-2-1-4-1-B26)/Tx779,19,20,2,152,INEW,NA,NA,19_19,19
